Value,Name,IsActive,S_ResourceType_ID[Value],M_Warehouse_ID[Value],IsAvailable,FORCA_Port_ID[Value]
3402_CURAH,3402_CURAH,Y,PACKER,3402,Y,TELUK BAYUR
3402_DISTRIBUTION CENTRE,3402_DISTRIBUTION CENTRE,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 1,3402_PACKER MACHINE 1,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 2,3402_PACKER MACHINE 2,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 3,3402_PACKER MACHINE 3,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 4,3402_PACKER MACHINE 4,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 5,3402_PACKER MACHINE 5,Y,PACKER,3402,Y,TELUK BAYUR
3402_PACKER MACHINE 6,3402_PACKER MACHINE 6,Y,PACKER,3402,Y,TELUK BAYUR
3407_CURAH,3407_CURAH,Y,PACKER,3407,Y,TELUK BAYUR
3407_DISTRIBUTION CENTRE,3407_DISTRIBUTION CENTRE,Y,PACKER,3407,Y,TELUK BAYUR
3407_PACKER MACHINE 1,3407_PACKER MACHINE 1,Y,PACKER,3407,Y,TELUK BAYUR
3408_CURAH,3408_CURAH,Y,PACKER,3408,Y,TELUK BAYUR
3408_DISTRIBUTION CENTRE,3408_DISTRIBUTION CENTRE,Y,PACKER,3408,Y,TELUK BAYUR
3408_PACKER MACHINE 1,3408_PACKER MACHINE 1,Y,PACKER,3408,Y,TELUK BAYUR
IL23_CURAH,IL23_CURAH,Y,PACKER,IL23,Y,TELUK BAYUR
IL23_DISTRIBUTION CENTRE,IL23_DISTRIBUTION CENTRE,Y,PACKER,IL23,Y,TELUK BAYUR
IL23_PACKER MACHINE 1,IL23_PACKER MACHINE 1,Y,PACKER,IL23,Y,TELUK BAYUR
3404_CURAH,3404_CURAH,Y,PACKER,3404,Y,TELUK BAYUR
3404_DISTRIBUTION CENTRE,3404_DISTRIBUTION CENTRE,Y,PACKER,3404,Y,TELUK BAYUR
3404_PACKER MACHINE 1,3404_PACKER MACHINE 1,Y,PACKER,3404,Y,TELUK BAYUR
IL21_CURAH,IL21_CURAH,Y,PACKER,IL21,Y,TELUK BAYUR
IL21_DISTRIBUTION CENTRE,IL21_DISTRIBUTION CENTRE,Y,PACKER,IL21,Y,TELUK BAYUR
IL21_PACKER MACHINE 1,IL21_PACKER MACHINE 1,Y,PACKER,IL21,Y,TELUK BAYUR
3404_CURAH,3404_CURAH,Y,PACKER,3404,Y,TELUK BAYUR
3404_DISTRIBUTION CENTRE,3404_DISTRIBUTION CENTRE,Y,PACKER,3404,Y,TELUK BAYUR
3404_PACKER MACHINE 1,3404_PACKER MACHINE 1,Y,PACKER,3404,Y,TELUK BAYUR
3411_CURAH,3411_CURAH,Y,PACKER,3411,Y,TELUK BAYUR
3411_DISTRIBUTION CENTRE,3411_DISTRIBUTION CENTRE,Y,PACKER,3411,Y,TELUK BAYUR
3411_PACKER MACHINE 1,3411_PACKER MACHINE 1,Y,PACKER,3411,Y,TELUK BAYUR
3410_CURAH,3410_CURAH,Y,PACKER,3410,Y,TELUK BAYUR
3410_DISTRIBUTION CENTRE,3410_DISTRIBUTION CENTRE,Y,PACKER,3410,Y,TELUK BAYUR
3410_PACKER MACHINE 1,3410_PACKER MACHINE 1,Y,PACKER,3410,Y,TELUK BAYUR
I251_CURAH,I251_CURAH,Y,PACKER,I251,Y,TELUK BAYUR
I252_DISTRIBUTION CENTRE,I252_DISTRIBUTION CENTRE,Y,PACKER,I252,Y,TELUK BAYUR
I253_PACKER MACHINE 1,I253_PACKER MACHINE 1,Y,PACKER,I253,Y,TELUK BAYUR
4415_CURAH,4415_CURAH,Y,PACKER,4415,Y,BIRINGKASSI
4415_DISTRIBUTION CENTRE,4415_DISTRIBUTION CENTRE,Y,PACKER,4415,Y,BIRINGKASSI
4415_PACKER MACHINE 1,4415_PACKER MACHINE 1,Y,PACKER,4415,Y,BIRINGKASSI
4407_CURAH,4407_CURAH,Y,PACKER,4407,Y,BIRINGKASSI
4407_DISTRIBUTION CENTRE,4407_DISTRIBUTION CENTRE,Y,PACKER,4407,Y,BIRINGKASSI
4407_PACKER MACHINE 1,4407_PACKER MACHINE 1,Y,PACKER,4407,Y,BIRINGKASSI
7412_CURAH,7412_CURAH,Y,PACKER,7412,Y,TUBAN
7412_DISTRIBUTION CENTRE,7412_DISTRIBUTION CENTRE,Y,PACKER,7412,Y,TUBAN
7412_PACKER MACHINE 1,7412_PACKER MACHINE 1,Y,PACKER,7412,Y,TUBAN
4404_CURAH,4404_CURAH,Y,PACKER,4404,Y,BIRINGKASSI
4404_DISTRIBUTION CENTRE,4404_DISTRIBUTION CENTRE,Y,PACKER,4404,Y,BIRINGKASSI
4404_PACKER MACHINE 1,4404_PACKER MACHINE 1,Y,PACKER,4404,Y,BIRINGKASSI
4404_PACKER MACHINE 2,4404_PACKER MACHINE 2,Y,PACKER,4404,Y,BIRINGKASSI
7405_CURAH,7405_CURAH,Y,PACKER,7405,Y,TUBAN
7405_DISTRIBUTION CENTRE,7405_DISTRIBUTION CENTRE,Y,PACKER,7405,Y,TUBAN
7405_PACKER MACHINE 1,7405_PACKER MACHINE 1,Y,PACKER,7405,Y,TUBAN
7609_CURAH,7609_CURAH,Y,PACKER,7609,Y,TUBAN
7609_DISTRIBUTION CENTRE,7609_DISTRIBUTION CENTRE,Y,PACKER,7609,Y,TUBAN
7609_PACKER MACHINE 1,7609_PACKER MACHINE 1,Y,PACKER,7609,Y,TUBAN
7609_PACKER MACHINE 2,7609_PACKER MACHINE 2,Y,PACKER,7609,Y,TUBAN
7408_CURAH,7408_CURAH,Y,PACKER,7408,Y,TUBAN
7408_DISTRIBUTION CENTRE,7408_DISTRIBUTION CENTRE,Y,PACKER,7408,Y,TUBAN
7408_PACKER MACHINE 1,7408_PACKER MACHINE 1,Y,PACKER,7408,Y,TUBAN
7406_CURAH,7406_CURAH,Y,PACKER,7406,Y,TUBAN
7406_DISTRIBUTION CENTRE,7406_DISTRIBUTION CENTRE,Y,PACKER,7406,Y,TUBAN
7406_PACKER MACHINE 1,7406_PACKER MACHINE 1,Y,PACKER,7406,Y,TUBAN
7406_PACKER MACHINE 2,7406_PACKER MACHINE 2,Y,PACKER,7406,Y,TUBAN
4405_CURAH,4405_CURAH,Y,PACKER,4405,Y,BIRINGKASSI
4405_DISTRIBUTION CENTRE,4405_DISTRIBUTION CENTRE,Y,PACKER,4405,Y,BIRINGKASSI
4405_PACKER MACHINE 1,4405_PACKER MACHINE 1,Y,PACKER,4405,Y,BIRINGKASSI
4405_PACKER MACHINE 2,4405_PACKER MACHINE 2,Y,PACKER,4405,Y,BIRINGKASSI
4411_CURAH,4411_CURAH,Y,PACKER,4411,Y,BIRINGKASSI
4411_DISTRIBUTION CENTRE,4411_DISTRIBUTION CENTRE,Y,PACKER,4411,Y,BIRINGKASSI
4411_PACKER MACHINE 1,4411_PACKER MACHINE 1,Y,PACKER,4411,Y,BIRINGKASSI
4413_CURAH,4413_CURAH,Y,PACKER,4413,Y,BIRINGKASSI
4413_DISTRIBUTION CENTRE,4413_DISTRIBUTION CENTRE,Y,PACKER,4413,Y,BIRINGKASSI
4413_PACKER MACHINE 1,4413_PACKER MACHINE 1,Y,PACKER,4413,Y,BIRINGKASSI
